filename,nwords,cl_av_deps,cl_ndeps_std_dev,acomp_per_cl,advcl_per_cl,agent_per_cl,cc_per_cl,ccomp_per_cl,conj_per_cl,csubj_per_cl,csubjpass_per_cl,dep_per_cl,discourse_per_cl,dobj_per_cl,expl_per_cl,iobj_per_cl,mark_per_cl,ncomp_per_cl,neg_per_cl,nsubj_per_cl,nsubjpass_per_cl,parataxis_per_cl,pcomp_per_cl,prep_per_cl,prepc_per_cl,prt_per_cl,tmod_per_cl,xcomp_per_cl,xsubj_per_cl,advmod_per_cl,aux_per_cl,auxpass_per_cl,modal_per_cl
46702.txt, 19, 3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
47208.txt, 153, 2.64,1.19599331102,0.04,0.16,0.04,0.0,0.24,0.08,0.0,0.0,0.04,0.0,0.32,0.0,0.0,0.2,0.0,0.04,0.64,0.04,0.0,0.0,0.32,0.04,0.0,0.0,0.12,0.0,0.32,0.2,0.04,0.08
28211.txt, 21, 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48093.txt, 25, 2.0,0.57735026919,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.166666666667,0.0,0.666666666667,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.166666666667
19060.txt, 76, 2.3,1.1874342087,0.3,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0
15818.txt, 3, 0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6597.txt, 44, 2.5,1.11803398875,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.75,0.0,0.0,0.0,0.125,0.25,0.0,0.125,0.25,0.0,0.125,0.25,0.0,0.0
36935.txt, 150, 2.75,1.58771324027,0.166666666667,0.0,0.0,0.0,0.25,0.0833333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0833333333333,0.0,0.0833333333333,0.0833333333333,0.666666666667,0.0833333333333,0.0,0.0,0.0833333333333,0.0,0.0,0.166666666667,0.0,0.0,0.5,0.25,0.0833333333333,0.166666666667
38655.txt, 83, 2.78571428571,0.673855795147,0.0,0.214285714286,0.0,0.0,0.0714285714286,0.0714285714286,0.0,0.0,0.0714285714286,0.0,0.0714285714286,0.0,0.0,0.214285714286,0.214285714286,0.0714285714286,0.857142857143,0.0714285714286,0.0,0.0,0.571428571429,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.857142857143,0.0714285714286,0.0
18257.txt, 15, 1.33333333333,0.471404520791,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.333333333333
12782.txt, 8, 3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8216.txt, 4, 1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
5785.txt, 11, 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
169.txt, 216, 3.17647058824,1.17499907973,0.0588235294118,0.264705882353,0.0,0.0,0.0294117647059,0.117647058824,0.0,0.0,0.0294117647059,0.0,0.647058823529,0.0294117647059,0.0,0.205882352941,0.0588235294118,0.0294117647059,0.852941176471,0.0,0.0,0.0,0.441176470588,0.117647058824,0.0,0.0,0.0294117647059,0.0,0.264705882353,0.441176470588,0.0,0.0294117647059
20689.txt, 15, 2.66666666667,1.6996731712,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.333333333333,0.0,0.666666666667,0.0,0.0,0.333333333333,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0
44529.txt, 13, 2.66666666667,1.24721912892,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.333333333333,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.333333333333,0.0,0.0,0.333333333333,0.0,0.333333333333
47643.txt, 10, 3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18049.txt, 6, 0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21814.txt, 26, 2.2,1.72046505341,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2
35841.txt, 6, 0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3836.txt, 173, 2.55172413793,1.13216932134,0.172413793103,0.103448275862,0.0,0.0,0.103448275862,0.0,0.0,0.0,0.0,0.0,0.344827586207,0.0,0.0,0.206896551724,0.0344827586207,0.0,0.724137931034,0.0344827586207,0.0,0.0,0.310344827586,0.0,0.0,0.0,0.137931034483,0.0,0.379310344828,0.137931034483,0.0344827586207,0.0344827586207
35929.txt, 64, 2.7,0.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1
