filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
46702.txt, 19, 19.0,19.0,19.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0
47208.txt, 153, 19.125,21.8571428571,10.9285714286,1.75,2.85714285714,2.0,0.5,1.0,0.875,0.714285714286,0.428571428571,0.214285714286,2.57142857143,1.28571428571
28211.txt, 21, 21.0,21.0,21.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0
48093.txt, 25, 25.0,25.0,8.33333333333,3.0,6.0,3.0,0.666666666667,2.0,1.0,1.0,0.0,0.0,3.0,1.0
19060.txt, 76, 19.0,19.0,15.2,1.25,2.0,1.25,0.2,0.25,1.0,0.25,0.75,0.6,3.25,2.6
15818.txt, 3, 3.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6597.txt, 44, 14.6666666667,14.6666666667,7.33333333333,2.0,2.66666666667,2.0,0.5,1.0,1.0,0.333333333333,0.333333333333,0.166666666667,0.666666666667,0.333333333333
36935.txt, 150, 18.75,30.0,16.6666666667,1.125,2.8,1.8,0.444444444444,0.8,0.625,0.4,1.0,0.555555555556,3.0,1.66666666667
38655.txt, 83, 10.375,9.22222222222,6.38461538462,1.625,1.55555555556,1.44444444444,0.307692307692,0.444444444444,1.125,0.555555555556,0.0,0.0,0.555555555556,0.384615384615
18257.txt, 15, 15.0,15.0,15.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0
12782.txt, 8, 8.0,8.0,8.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
8216.txt, 4, 4.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
