filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
22.txt, 3, 3.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
32.txt, 57, 11.4,11.4,9.5,1.2,1.8,1.2,0.333333333333,0.4,1.0,0.2,0.4,0.333333333333,1.4,1.16666666667
40.txt, 10, 10.0,10.0,0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0,1.0,0
112.txt, 44, 7.33333333333,11.0,8.8,0.833333333333,1.25,1.25,0.2,0.25,0.666666666667,0.25,0.25,0.2,1.0,0.8
92.txt, 6, 6.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66.txt, 8, 8.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76.txt, 16, 5.33333333333,8.0,8.0,0.666666666667,1.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,1.0,1.0
7.txt, 39, 7.8,7.8,9.75,0.8,0.8,0.8,0.0,0.0,1.0,0.0,0.6,0.75,0.4,0.5
14.txt, 13, 6.5,6.5,6.5,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5
113.txt, 58, 11.6,14.5,19.3333333333,0.6,1.75,0.75,0.333333333333,0.25,0.8,0.0,0.0,0.0,2.0,2.66666666667
93.txt, 5, 5.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
6.txt, 2, 2.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
77.txt, 15, 7.5,7.5,7.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67.txt, 8, 8.0,8.0,8.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
15.txt, 50, 10.0,10.0,10.0,1.0,1.6,1.0,0.4,0.4,1.0,0.2,0.0,0.0,0.4,0.4
33.txt, 74, 14.8,14.8,10.5714285714,1.4,2.6,1.4,0.428571428571,0.6,1.0,0.4,0.2,0.142857142857,1.2,0.857142857143
23.txt, 119, 8.5,9.91666666667,9.15384615385,0.928571428571,1.33333333333,1.08333333333,0.230769230769,0.25,0.857142857143,0.166666666667,0.166666666667,0.153846153846,0.75,0.692307692308
51.txt, 8, 8.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
41.txt, 6, 6.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38.txt, 8, 8.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
28.txt, 2, 2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
91.txt, 4, 4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
101.txt, 53, 8.83333333333,7.57142857143,7.57142857143,1.16666666667,1.0,1.0,0.0,0.0,1.16666666667,0.0,0.142857142857,0.142857142857,0.571428571429,0.571428571429
111.txt, 51, 12.75,17.0,10.2,1.25,2.66666666667,1.66666666667,0.2,0.333333333333,0.75,0.0,1.33333333333,0.8,1.0,0.6
